PacketCounter	SampleTimeFine	Year	Month	Day	Second	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
00110						-0.018096	0.005114	-0.003412	-0.060940	0.009250	-0.006751	-0.609065	-4.601751	93.107796	-0.182197	-0.064602	-0.023267
00111						-0.184471	0.030384	-0.058632	-0.053132	0.004414	-0.003692	-0.686878	-4.593453	93.100510	-0.183586	-0.063553	-0.023928
00112						-0.206358	0.030123	-0.034577	-0.002959	-0.007410	0.000834	-0.721552	-4.597404	93.100388	-0.186360	-0.062706	-0.025444
00113						-0.124986	0.032140	0.076404	0.022785	-0.005443	0.007080	-0.712840	-4.605004	93.107620	-0.188508	-0.062019	-0.024915
00114						-0.016535	0.059109	0.173900	0.003750	0.003655	0.006004	-0.703072	-4.605781	93.117142	-0.188660	-0.060727	-0.021805
00115						0.010828	0.047331	0.139959	-0.036977	0.010698	0.007583	-0.732050	-4.597520	93.124786	-0.187655	-0.059233	-0.018502
00116						-0.035809	0.004255	0.081981	-0.048476	0.005691	0.010525	-0.791874	-4.585870	93.135651	-0.186864	-0.058263	-0.016302
00118						-0.025273	-0.031119	0.047872	-0.022267	-0.001386	0.024754	-0.842839	-4.581395	93.155807	-0.186316	-0.058106	-0.015179
00119						0.016535	-0.028459	0.039945	0.001108	-0.005381	0.036655	-0.861269	-4.583915	93.190750	-0.185788	-0.058624	-0.013981
00120						-0.056759	-0.011845	0.047443	0.028770	-0.009654	0.045474	-0.855388	-4.593081	93.239136	-0.185452	-0.058518	-0.013759
00121						0.014204	0.002583	-0.019699	0.055020	-0.016971	0.056228	-0.811318	-4.608217	93.299904	-0.184879	-0.058404	-0.014167
00122						-0.026424	-0.007717	-0.053012	0.073274	-0.020321	0.056960	-0.750184	-4.628095	93.365318	-0.184202	-0.058092	-0.014548
00123						-0.070581	-0.037397	0.007215	0.126774	-0.014615	0.063612	-0.647530	-4.646756	93.436188	-0.184967	-0.058351	-0.015361
00124						0.128779	-0.004691	0.005838	0.129812	-0.008589	0.068890	-0.502743	-4.656039	93.513832	-0.183214	-0.058494	-0.015463
00125						0.139091	0.121178	0.039496	0.073638	0.003985	0.059569	-0.401752	-4.655219	93.588699	-0.179474	-0.056776	-0.014871
00126						0.038005	0.202189	0.063614	0.022060	0.001272	0.041394	-0.368687	-4.652051	93.646797	-0.176442	-0.052688	-0.014048
